City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,Rognan,NO,67.0953,15.3878,28.4,80,40,8.05,scattered clouds
301,Channel-Port Aux Basques,CA,47.5702,-59.1367,32.77,90,90,33.51,overcast clouds
302,Airai,TL,-8.9266,125.4092,70.88,79,72,4.38,broken clouds
303,Baoqing,CN,46.3317,132.2111,-2.56,88,90,10.89,overcast clouds
304,Balkanabat,TM,39.5108,54.3671,48.65,61,100,8.9,overcast clouds
305,Opuwo,NA,-18.0607,13.84,71.02,44,100,3.76,overcast clouds
306,Kabare,CD,-2.4683,28.8242,62.49,80,98,2.62,overcast clouds
307,Acapulco,MX,16.8634,-99.8901,80.6,74,1,4.61,clear sky
308,Berlevag,NO,70.8578,29.0864,26.42,94,100,26.13,light snow
309,Keetmanshoop,NA,-26.5833,18.1333,72.75,37,0,13.35,clear sky
310,Sheoganj,IN,25.15,73.0667,47.91,60,0,2.68,clear sky
311,Paamiut,GL,61.994,-49.6678,26.78,81,70,2.98,broken clouds
312,Madison,US,34.7334,-86.5667,41.0,75,90,5.75,overcast clouds
313,Changde,CN,29.0464,111.6783,53.83,86,94,4.68,overcast clouds
314,Beatrice,US,40.2681,-96.747,1.99,85,1,4.61,clear sky
315,Bandarbeyla,SO,9.4942,50.8122,74.86,81,0,11.45,clear sky
316,Tolbazy,RU,54.0241,55.8825,3.2,72,75,20.13,broken clouds
317,Oktyabrskoye,RU,43.0645,44.7417,32.0,86,95,2.24,overcast clouds
318,Gizo,SB,-8.103,156.8419,82.15,74,100,0.16,overcast clouds
319,Bafra,TR,41.5678,35.9069,41.0,87,0,1.39,clear sky
320,Coquimbo,CL,-29.9533,-71.3436,60.8,82,0,6.91,clear sky
321,Chumikan,RU,54.7183,135.315,-8.79,84,100,14.88,overcast clouds
322,Erenhot,CN,43.6475,111.9767,4.1,87,0,5.17,clear sky
323,Vanderhoof,CA,54.0166,-124.0198,3.85,91,100,3.94,overcast clouds
324,Mopti,ML,14.6667,-4.0,80.6,28,0,9.22,clear sky
325,San Jose De Sisa,PE,-6.6167,-76.6915,77.0,94,90,2.3,overcast clouds
326,Adrar,MR,20.5022,-10.0711,57.54,40,100,12.21,overcast clouds
327,Mayo,US,38.8876,-76.5119,42.01,52,1,5.75,clear sky
328,Acurenam,GQ,1.0322,10.6488,68.86,99,72,3.6,broken clouds
